IID,population
HGDP00511,French
HGDP00512,French
HGDP00513,French
HGDP00514,French
HGDP00515,French
HGDP00517,French
HGDP00518,French
HGDP00519,French
HGDP00520,French
HGDP00521,French
HGDP00522,French
HGDP00523,French
HGDP00524,French
HGDP00525,French
HGDP00526,French
HGDP00527,French
HGDP00529,French
HGDP00530,French
HGDP00531,French
HGDP00533,French
HGDP00534,French
HGDP00535,French
HGDP00536,French
HGDP00537,French
HGDP00538,French
HGDP00539,French
HGDP00665,Sardinian
HGDP00666,Sardinian
HGDP00667,Sardinian
HGDP00668,Sardinian
HGDP00669,Sardinian
HGDP00670,Sardinian
HGDP00672,Sardinian
HGDP00673,Sardinian
HGDP00674,Sardinian
HGDP00794,Orcadian
HGDP00795,Orcadian
HGDP00796,Orcadian
HGDP00797,Orcadian
HGDP00799,Orcadian
HGDP00800,Orcadian
HGDP00802,Orcadian
HGDP00803,Orcadian
HGDP00804,Orcadian
HGDP00805,Orcadian
HGDP00806,Orcadian
HGDP00807,Orcadian
HGDP00808,Orcadian
HGDP00810,Orcadian
HGDP00879,NA
HGDP00880,NA
HGDP00881,NA
HGDP00882,NA
HGDP00883,NA
HGDP00884,NA
HGDP00885,NA
HGDP00886,NA
HGDP00887,NA
HGDP00888,NA
HGDP00889,NA
HGDP00890,NA
HGDP00891,NA
HGDP00892,NA
HGDP00893,NA
HGDP00894,NA
HGDP00895,NA
HGDP00896,NA
HGDP00897,NA
HGDP00898,NA
HGDP00899,NA
HGDP00900,NA
HGDP00901,NA
HGDP00902,NA
HGDP00903,NA
HGDP01062,Sardinian
HGDP01063,Sardinian
HGDP01064,Sardinian
HGDP01065,Sardinian
HGDP01066,Sardinian
HGDP01067,Sardinian
HGDP01068,Sardinian
HGDP01069,Sardinian
HGDP01071,Sardinian
HGDP01072,Sardinian
HGDP01073,Sardinian
HGDP01074,Sardinian
HGDP01075,Sardinian
HGDP01076,Sardinian
HGDP01077,Sardinian
HGDP01078,Sardinian
HGDP01079,Sardinian
HGDP01147,Italian
HGDP01152,Italian
HGDP01153,Italian
HGDP01155,Italian
HGDP01156,Italian
HGDP01157,Italian
HGDP01162,NA
HGDP01163,NA
HGDP01164,NA
HGDP01166,NA
HGDP01167,NA
HGDP01168,NA
HGDP01169,NA
HGDP01171,Italian
HGDP01172,Italian
HGDP01173,Italian
HGDP01174,Italian
HGDP01177,Italian
HGDP01358,Basque
HGDP01359,Basque
HGDP01360,Basque
HGDP01361,Basque
HGDP01362,Basque
HGDP01363,Basque
HGDP01364,Basque
HGDP01366,Basque
HGDP01367,Basque
HGDP01368,Basque
HGDP01369,Basque
HGDP01370,Basque
HGDP01371,Basque
HGDP01372,Basque
HGDP01373,Basque
HGDP01374,Basque
HGDP01375,Basque
HGDP01377,Basque
HGDP01378,Basque
HGDP01379,Basque
HGDP01380,Basque
HGDP01381,Adygei
HGDP01382,Adygei
HGDP01383,Adygei
HGDP01384,Adygei
HGDP01385,Adygei
HGDP01386,Adygei
HGDP01387,Adygei
HGDP01388,Adygei
HGDP01396,Adygei
HGDP01397,Adygei
HGDP01398,Adygei
HGDP01399,Adygei
HGDP01400,Adygei
HGDP01401,Adygei
HGDP01402,Adygei
HGDP01403,Adygei
HGDP01404,Adygei
HGDP01151,Italian
HGDP00528,French
HGDP00516,French
HGDP01365,Basque
HGDP00798,Orcadian
HGDP01357,Basque
HGDP01070,Sardinian
HGDP01376,Basque
HGDP00671,Sardinian
