"GEOID","county","income_est","income_moe","pop_est","pop_moe","income_se","diff","se_diff","z_stat","comparison","density_group"
"37001","Alamance",65651,1854,176893,NA,1127.05167173252,-6737,1144.13238042079,-5.88830463614905,"Below state (significant)","Higher population"
"37003","Alexander",65354,4962,36412,NA,3016.41337386018,-7034,3022.83692500519,-2.32695318156732,"Below state (significant)","Lower population"
"37005","Alleghany",47172,4894,11174,NA,2975.07598784195,-25216,2981.58859781258,-8.45723652770188,"Below state (significant)","Lower population"
"37007","Anson",47302,5753,22289,NA,3497.26443768997,-25086,3502.80630071136,-7.16168632987369,"Below state (significant)","Lower population"
"37009","Ashe",56866,4577,26950,NA,2782.37082066869,-15522,2789.33340009416,-5.56477042130425,"Below state (significant)","Lower population"
"37011","Avery",61428,7429,17680,NA,4516.1094224924,-10960,4520.40238796248,-2.42456291705042,"Below state (significant)","Lower population"
"37013","Beaufort",58357,3205,44499,NA,1948.3282674772,-14031,1958.25853018007,-7.16503964300864,"Below state (significant)","Middle population"
"37015","Bertie",48750,8791,17170,NA,5344.07294832827,-23638,5347.70129216528,-4.42021696960358,"Below state (significant)","Lower population"
"37017","Bladen",42422,6049,29566,NA,3677.20364741641,-29966,3682.47472465798,-8.13746250567496,"Below state (significant)","Lower population"
"37019","Brunswick",77024,2734,152568,NA,1662.00607902736,4636,1673.63605359593,2.77001680863603,"Above state (significant)","Higher population"
"37021","Buncombe",74436,2206,274360,NA,1341.03343465046,2048,1355.42026915,1.51097046916992,"Not significantly different","Higher population"
"37023","Burke",58592,3527,87795,NA,2144.07294832827,-13796,2153.10061096209,-6.4075036390591,"Below state (significant)","Higher population"
"37025","Cabarrus",89005,3534,236133,NA,2148.3282674772,16617,2157.33812324677,7.70254779301431,"Above state (significant)","Higher population"
"37027","Caldwell",56425,2209,80536,NA,1342.85714285714,-15963,1357.22464584708,-11.761501715169,"Below state (significant)","Middle population"
"37029","Camden",91078,14321,10927,NA,8705.77507598784,18690,8708.0028196403,2.1463015558339,"Above state (significant)","Lower population"
"37031","Carteret",72322,2766,69148,NA,1681.45896656535,-66,1692.95531229129,-0.0389850810123712,"Not significantly different","Middle population"
"37033","Caswell",59755,4753,22404,NA,2889.36170212766,-12633,2896.06707085563,-4.36212273090334,"Below state (significant)","Lower population"
"37035","Catawba",67864,2779,163573,NA,1689.36170212766,-4524,1700.8046312813,-2.65991749833832,"Below state (significant)","Higher population"
"37037","Chatham",94317,4141,80151,NA,2517.32522796353,21929,2525.01875963603,8.68468795184751,"Above state (significant)","Middle population"
"37039","Cherokee",53628,3764,29562,NA,2288.14589665654,-18760,2296.60729720133,-8.16857110175567,"Below state (significant)","Lower population"
"37041","Chowan",53864,6862,13836,NA,4171.42857142857,-18524,4176.07588050108,-4.43574315459453,"Below state (significant)","Lower population"
"37043","Clay",56971,8915,11610,NA,5419.45288753799,-15417,5423.03079775656,-2.84287524355897,"Below state (significant)","Lower population"
"37045","Cleveland",58534,2730,100991,NA,1659.57446808511,-13854,1671.22136424001,-8.28974562941884,"Below state (significant)","Higher population"
"37047","Columbus",49442,4924,50140,NA,2993.31306990881,-22946,2999.7860869834,-7.64921208867749,"Below state (significant)","Middle population"
"37049","Craven",65873,3115,102612,NA,1893.6170212766,-6515,1903.83267553657,-3.42204442843899,"Below state (significant)","Higher population"
"37051","Cumberland",61291,990,338545,NA,601.823708206687,-11097,633.233929075125,-17.5243294625855,"Below state (significant)","Higher population"
"37053","Currituck",93511,8425,30601,NA,5121.58054711246,21123,5125.36639994967,4.12126633526286,"Above state (significant)","Lower population"
"37055","Dare",88994,5211,37875,NA,3167.7811550152,16606,3173.89837254467,5.23205158162836,"Above state (significant)","Middle population"
"37057","Davidson",64172,1806,172954,NA,1097.87234042553,-8216,1115.39997715784,-7.36596751681425,"Below state (significant)","Higher population"
"37059","Davie",75057,2836,44122,NA,1724.01215805471,2669,1735.22660027235,1.53812764256904,"Not significantly different","Middle population"
"37061","Duplin",55148,3396,49335,NA,2064.4376899696,-17240,2073.8120476406,-8.31319309752016,"Below state (significant)","Middle population"
"37063","Durham",82316,1930,332353,NA,1173.25227963526,9928,1189.66984699185,8.3451724233438,"Above state (significant)","Higher population"
"37065","Edgecombe",51265,3893,48736,NA,2366.56534954407,-21123,2374.74735221137,-8.8948409523776,"Below state (significant)","Middle population"
"37067","Forsyth",67165,1465,389977,NA,890.577507598784,-5223,912.097434605062,-5.72636190152377,"Below state (significant)","Higher population"
"37069","Franklin",74240,3647,74386,NA,2217.02127659574,1852,2225.7530802069,0.83207792295983,"Not significantly different","Middle population"
"37071","Gaston",67478,1710,234881,NA,1039.51367781155,-4910,1058.00856307006,-4.64079419712114,"Below state (significant)","Higher population"
"37073","Gates",66333,9431,10376,NA,5733.13069908815,-6055,5736.51296921738,-1.05551927320511,"Not significantly different","Lower population"
"37075","Graham",49684,4545,8072,NA,2762.9179331307,-22704,2769.92941036184,-8.19659877073696,"Below state (significant)","Lower population"
"37077","Granville",71111,4675,60877,NA,2841.9452887538,-1277,2848.76226762469,-0.448264853305842,"Not significantly different","Middle population"
"37079","Greene",53244,3063,20486,NA,1862.00607902736,-19144,1872.39420836188,-10.2243426702055,"Below state (significant)","Lower population"
"37081","Guilford",68642,1579,547940,NA,959.878419452888,-3746,979.877550158001,-3.82292664975942,"Below state (significant)","Higher population"
"37083","Halifax",45590,2970,47675,NA,1805.47112462006,-26798,1816.18264913227,-14.7551238928549,"Below state (significant)","Middle population"
"37085","Harnett",71287,2853,139150,NA,1734.34650455927,-1101,1745.49455199643,-0.630766792563584,"Not significantly different","Higher population"
"37087","Haywood",61912,2423,62662,NA,1472.94832826748,-10476,1486.05861624575,-7.04952004279997,"Below state (significant)","Middle population"
"37089","Henderson",68187,3678,118484,NA,2235.86626139818,-4201,2244.52475415865,-1.8716657021565,"Below state (significant)","Higher population"
"37091","Hertford",45537,2991,19908,NA,1818.23708206687,-26851,1828.87383921782,-14.6817125513063,"Below state (significant)","Lower population"
"37093","Hoke",64912,2386,53835,NA,1450.45592705167,-7476,1463.7676828963,-5.10736784761332,"Below state (significant)","Middle population"
"37095","Hyde",53713,12155,4592,NA,7389.05775075988,-18675,7391.68234417828,-2.52648844071452,"Below state (significant)","Lower population"
"37097","Iredell",81419,2620,196544,NA,1592.70516717325,9031,1604.83743186425,5.62736126456695,"Above state (significant)","Higher population"
"37099","Jackson",55815,5024,43771,NA,3054.10334346505,-16573,3060.44778843499,-5.41522062968271,"Below state (significant)","Middle population"
"37101","Johnston",83384,2239,234263,NA,1361.09422492401,10996,1375.27121772172,7.99551379997325,"Above state (significant)","Higher population"
"37103","Jones",59641,6422,9302,NA,3903.95136778116,-12747,3908.91669330169,-3.26100579780665,"Below state (significant)","Lower population"
"37105","Lee",65387,3096,65816,NA,1882.06686930091,-7001,1892.34487704869,-3.69964274742499,"Below state (significant)","Middle population"
"37107","Lenoir",45143,2547,54919,NA,1548.3282674772,-27245,1560.80551544426,-17.4557302177684,"Below state (significant)","Middle population"
"37109","Lincoln",80016,4599,92716,NA,2795.74468085106,7628,2802.67403628736,2.72168646843592,"Above state (significant)","Higher population"
"37111","McDowell",57168,4181,44817,NA,2541.64133738602,-15220,2549.26148542704,-5.9703565471827,"Below state (significant)","Middle population"
"37113","Macon",59061,6098,37941,NA,3706.99088145897,-13327,3712.2196632732,-3.59003539899605,"Below state (significant)","Middle population"
"37115","Madison",58531,4714,21867,NA,2865.65349544073,-13857,2872.41420918083,-4.82416496747236,"Below state (significant)","Lower population"
